Country,Year,FDI,Imports,Exports,Aid,ME,PI
Kuwait,1994,1519181869.0,42.33062503,50.85365925,0.036930977,13.26,0
Lebanon,1994,22559999.9,62.40150674,7.870608735,,7.0,250
Liberia,1994,17379999.9,,,,29.73,5250
Libya,1994,-72624307.46,26.11718672,27.03521621,0.050118533,,0
Sri Lanka,1994,166412940.1,45.6179069,33.8128838,9.057996777,3.73,4062
Lesotho,1994,43268067.99,,,7.668896478,2.74,5187
Lithuania,1994,31304837.64,,,,0.49,0
Luxembourg,1994,,83.64660855,102.1396386,,0.74,0
Latvia,1994,282828000.0,,,,0.84,250
Morocco,1994,550924373.9,26.37505227,20.93850146,7.064986338,4.49,1875
Moldova,1994,11568000.0,,,,0.77,1875
Madagascar,1994,5728097.918,23.53911577,20.01980217,27.92125481,0.93,250
Mexico,1994,10972500000.0,16.40387642,12.75459571,0.51437325,0.52,4437
Mali,1994,17416999.67,36.99149603,19.44277535,53.94793223,1.44,1875
Malta,1994,151693045.3,95.74010681,85.96184262,1.389406185,1.02,0
Mongolia,1994,6900000.0,54.52660158,44.63069351,34.96511452,1.65,125
Mozambique,1994,35000000.0,,,,3.3,1875
Mauritania,1994,2079708.679,27.98625537,34.69962831,46.2892054,2.24,0
Mauritius,1994,19988456.06,65.46065327,56.72276003,0.624401078,0.33,0
Malawi,1994,24992617.89,,,69.48342048,1.42,0
Malaysia,1994,4341800916.0,90.75416579,89.15077688,0.089648311,2.85,0
Namibia,1994,97977966.46,45.38810214,44.10557869,6.738942582,1.75,0
Niger,1994,4075974.173,20.50149672,13.1410319,80.0991834,1.23,2312
Nigeria,1994,1959219858.0,,,1.516744935,0.78,3625
Nicaragua,1994,46700000.0,25.94133942,13.13987687,37.59966334,1.19,3437
Netherlands,1994,7126515355.0,48.2150839,54.73565075,,1.91,0
Norway,1994,2736393920.0,30.89055127,36.74404453,,2.73,125
Nepal,1994,0.0,31.43813481,18.99393793,25.84576655,0.97,1312
New Zealand,1994,2616630695.0,28.03642384,30.7781457,,1.83,0
Oman,1994,76462938.88,34.78751032,43.00122803,2.923855,11.77,0
Pakistan,1994,421024638.5,18.89934314,16.15838057,8.656523467,5.92,2125
Panama,1994,401500000.0,77.56697716,66.04205563,0.437935445,1.19,0
Peru,1994,3289186723.0,16.151513,12.77148277,3.802795744,2.47,3125
Philippines,1994,1591000000.0,28.45083795,24.07566586,3.613381594,2.17,3125
Papua New Guinea,1994,59713464.67,39.76805779,53.53460753,12.6784587,1.01,3125
Poland,1994,1875000000.0,,,,2.27,750
Portugal,1994,1269714976.0,32.04379409,25.13356593,,1.68,0
Paraguay,1994,137100000.0,62.25897211,60.82035735,2.085661552,2.05,937
Qatar,1994,131849999.9,33.7741688,44.87575808,,,0
Romania,1994,341000000.0,26.96571703,24.90135304,,3.11,625
Rwanda,1994,1000.0,64.79304236,6.30258595,,3.44,3062
Saudi Arabia,1994,349333333.3,26.07036781,34.0009541,0.039600707,10.64,125
Sudan,1994,99180000.0,9.919577579,4.690437469,31.77354152,3.9,3125
Senegal,1994,66876235.54,33.51669551,21.22143908,37.84520124,1.35,437
Singapore,1994,8550165227.0,150.0231886,166.193359,0.014205656,3.79,0
Sierra Leone,1994,-2874187.61,25.64852115,29.51154637,77.47359681,1.99,1875
El Salvador,1994,,35.22592567,19.92272297,10.2829687,1.35,312
Somalia,1994,1000000.0,,,,,5875
Slovenia,1994,116900000.0,,,0.406230493,1.65,0
Sweden,1994,6268780978.0,30.24332526,33.5983065,,2.28,0
Seychelles,1994,30736620.72,39.83482137,10.23752272,4.536845829,2.44,0
Chad,1994,27074698.97,34.88274936,16.105602,50.08558388,1.88,0
Togo,1994,-3265462.296,34.25449235,30.54855885,22.87908775,2.58,0
Thailand,1994,1366440825.0,43.00683908,38.24211391,0.851023394,2.5,250
Tajikistan,1994,12000000.0,48.30445545,38.06138614,,0.0,4312
Turkmenistan,1994,103000000.0,85.30275229,84.95527523,,1.8,0
Trinidad and Tobago,1994,516174947.2,,,1.036825279,0.49,0
Tunisia,1994,432008501.8,47.8721117,44.93227434,1.271987593,1.74,0
Tanzania,1994,50000895.26,43.6249683,20.61398071,49.01137152,1.29,0
Uganda,1994,88200000.0,19.09882803,8.740531831,61.56119285,2.02,1875
Ukraine,1994,159000000.0,38.55515468,35.38884952,,1.8,812
Uruguay,1994,154500000.0,20.38202333,19.76681039,1.870433687,2.58,375
Uzbekistan,1994,73000000.0,,,,1.53,0
South Africa,1994,374410441.1,17.56527136,19.54933781,0.966144314,2.56,750
Zambia,1994,40000000.0,33.70019937,32.95039546,,1.72,0
Zimbabwe,1994,34648879.65,36.5195253,34.59997605,19.81477084,3.11,562
Afghanistan,1995,-93326.6,,,,,5250
Angola,1995,472427000.0,,,9.679105954,4.71,3125
Albania,1995,70000000.0,34.96976538,12.6408295,20.88827274,2.05,0
United Arab Emirates,1995,399850000.0,,,,,0
Argentina,1995,5609423404.0,10.09101283,9.68041026,0.4228933,1.47,2375
Armenia,1995,25320000.0,62.18693624,23.92792083,28.50126852,4.06,0
Australia,1995,13268875155.0,19.83337569,17.87066952,,2.02,0
Austria,1995,1825090253.0,34.72346076,33.53314035,,1.07,0
Azerbaijan,1995,330050000.0,53.4070672,32.48664355,9.152880119,2.74,4062
Burundi,1995,1981922.465,27.27828356,12.92634285,101.8241613,4.21,4062
Belgium,1995,10688700000.0,56.2641961,60.11437172,,1.57,0
Benin,1995,-7738379.607,36.43119751,27.3689425,30.306012,,0
Burkina Faso,1995,9816727.7,26.60691488,14.14055654,,1.38,437
Bangladesh,1995,1896372.127,17.34486186,10.86463421,13.26138542,1.57,2375
Bulgaria,1995,90400000.0,22.92320078,32.33953422,,2.37,500
Bahrain,1995,430586743.7,70.47376878,81.9905466,1.207887004,5.18,687
Bosnia and Herzegovina,1995,,71.46787364,20.41173902,,,3375
Belarus,1995,14700000.0,54.05302999,49.66516478,,1.7,0
Belize,1995,21050000.0,37.21094721,40.32459373,5.371237188,0.98,125
Bolivia,1995,392700000.0,27.18656548,22.55142162,37.52874875,2.1,1375
Brazil,1995,4859000000.0,9.455584961,7.528875038,0.339515749,1.86,375
Botswana,1995,70413220.76,43.7586738,50.83649784,3.495128452,3.51,312
Central African Republic,1995,6200565.7,28.25494616,22.22094496,,1.17,0
Canada,1995,13657593613.0,32.9636938,36.09805428,,1.55,312
Switzerland,1995,4158247960.0,36.23246461,40.0197083,,1.36,0
Chile,1995,2957000000.0,26.34090127,28.62625201,0.734542821,2.56,125
China,1995,35849200000.0,16.32444624,17.95252283,2.275045535,1.69,375
Cameroon,1995,15105727.29,15.0637847,21.61848797,21.84687698,1.25,0
Colombia,1995,968368273.6,20.96348743,14.53374289,0.995243694,2.83,8937
Costa Rica,1995,336900000.0,41.64516005,38.1292145,1.063834211,,375
Cuba,1995,,15.90690576,13.40151187,,,0
Cyprus,1995,243136818.6,67.62724672,66.76331985,0.403872545,3.04,0
Germany,1995,12041505213.0,21.58739793,21.99423628,,1.5,125
Djibouti,1995,3218527.917,,,40.05942287,5.79,3750
Denmark,1995,4139423320.0,31.90264574,36.61195704,,1.69,0
Dominican Republic,1995,417400000.0,38.67123776,35.22672162,2.144320416,0.55,2750
Algeria,1995,1000.0,28.99622923,26.19477598,,2.94,4750
Ecuador,1995,452480000.0,24.62436736,21.28690337,2.785138138,2.34,812
Eritrea,1995,,82.93460925,22.38801936,,19.54,4000
Spain,1995,8281607345.0,22.94827481,21.82709927,,1.92,562
Estonia,1995,206807479.4,73.18612627,65.90134741,,0.96,0
Ethiopia,1995,14140000.0,,,57.21526688,2.23,1250
Finland,1995,1450710446.0,28.30876011,35.76494942,,1.42,0
Fiji,1995,-22683100.26,58.84730593,55.29611318,3.411225027,1.63,250
France,1995,23736300874.0,21.02320252,22.62292606,,2.49,2250
Gabon,1995,-195496960.3,35.74769716,59.38699903,5.935922772,,0
United Kingdom,1995,29129258041.0,25.21515064,25.78062911,,2.85,1812
Georgia,1995,,42.3267831,25.50189571,,,2500
Ghana,1995,106500000.0,32.92664835,24.49644594,28.7248053,0.34,125
Guinea,1995,769000.0,24.52537391,21.11880776,37.51850473,,0
Guinea-Bissau,1995,40000.0,35.14326329,11.66716961,106.5796615,0.5,0
Equatorial Guinea,1995,126924170.7,,,15.10337478,2.05,0
Greece,1995,1053000000.0,22.68259746,14.4252832,,3.17,375
Guatemala,1995,75200000.0,25.43038631,19.25904403,5.220807111,1.08,3500
Guyana,1995,74420000.0,112.116602,101.2105684,8.123359143,0.92,0
Honduras,1995,50000000.0,54.01375472,48.43512765,17.75266588,,1687
Croatia,1995,108053139.7,35.48835866,27.2996325,0.566817269,9.18,0
Haiti,1995,7400000.0,28.7142552,9.133563861,78.67355374,0.11,5187
Hungary,1995,4804151332.0,39.19622485,39.18848046,,1.32,0
Indonesia,1995,4346000000.0,27.64642505,26.31216501,2.030710079,1.23,3187
India,1995,2143628110.0,12.02348067,10.84396804,3.242308906,2.58,3125
Ireland,1995,1442925000.0,62.58314563,73.5200043,,1.01,0
Iraq,1995,,0.015622473,0.005376759,,,5875
Iceland,1995,-9309003.234,31.54919579,34.99902773,,,0
Israel,1995,1350300000.0,33.73443867,26.28788307,0.847866996,7.92,4062
Italy,1995,4843882770.0,21.01206464,24.67248952,,1.47,562
Jamaica,1995,101800000.0,56.37600152,51.27580598,2.696637202,0.54,312
Jordan,1995,13308089.21,72.86147581,51.72121238,10.20313765,4.45,125
Japan,1995,41463072.35,7.573634501,8.816470433,,0.92,562
Kazakhstan,1995,964200000.0,43.54854613,38.97386091,0.935503363,1.03,0
Kenya,1995,42289248.46,39.15404042,32.59170122,11.8335358,1.65,0
Cambodia,1995,150800000.0,46.58254651,31.18418153,35.07075379,3.58,18437
Kuwait,1995,6701341.174,41.96502299,52.35460136,0.030521587,13.58,0
Lebanon,1995,35000000.0,62.32893212,10.80645488,,6.71,562
Liberia,1995,4599999.9,,,,,3375
Libya,1995,-88486065.39,22.41573034,29.17602996,0.096413711,,0
Sri Lanka,1995,55995587.57,46.03741996,35.59762913,7.43371089,5.86,3562
Lesotho,1995,24174395.03,,,6.737158966,3.24,312
Lithuania,1995,72557500.0,47.79440207,37.16181583,,0.45,0
Luxembourg,1995,,85.06562019,104.4788257,,0.6,0
Latvia,1995,244039000.0,39.30454653,34.562516,,0.81,0
Morocco,1995,334768272.9,29.04180535,22.67322004,4.416630087,4.35,0
Moldova,1995,66910000.0,67.89036246,60.12602406,,0.93,0
Madagascar,1995,9710167.974,24.38759396,20.98689761,25.79323757,0.86,250
Mexico,1995,9526290000.0,20.79990481,22.86592692,0.567135192,0.45,21250
Mali,1995,111429781.4,36.68316053,19.56106766,51.9499244,1.5,0
Malta,1995,392188547.2,131.9152673,126.6704138,0.247957468,0.84,0
Mongolia,1995,9800000.0,41.56228663,40.54137213,27.8762498,1.62,0
Mozambique,1995,45000000.0,,,,1.46,0
Mauritania,1995,6989378.508,31.93047705,41.48646321,41.18292232,2.26,312
Mauritius,1995,18692860.96,61.08190201,58.65758769,0.943418966,0.33,0
Malawi,1995,5643045.579,,,61.44564527,0.79,0
Malaysia,1995,4178239335.0,98.02402988,94.08917037,0.114026881,2.75,0
Namibia,1995,153015438.0,48.87208119,44.688766,8.153702633,1.95,125
Niger,1995,2233804.5,20.23948324,14.53805246,53.37912899,0.97,0
Nigeria,1995,335842165.0,,,4.285392962,0.48,3875
Nicaragua,1995,88900000.0,27.94470815,16.09508625,38.42211919,1.1,1937
Netherlands,1995,12206170579.0,50.59763858,57.22097303,,1.79,0
Norway,1995,2392766980.0,30.6805463,36.61873999,,2.31,0
Nepal,1995,0.0,34.51735942,24.97315898,22.94383311,0.94,250
New Zealand,1995,2849961939.0,27.52088615,29.39336631,,1.82,125
Oman,1995,46293888.17,35.55614177,44.03534887,1.30951123,10.97,0
Pakistan,1995,722631560.7,19.42278402,16.70996966,3.069400037,5.82,1437
Panama,1995,281300000.0,80.05827918,66.84710086,0.471268317,1.12,1187
Peru,1995,2556981500.0,18.3273326,12.59988525,3.132254074,2.64,6375
Philippines,1995,1478000000.0,31.38451631,25.94604166,2.400677474,2.29,3437
Papua New Guinea,1995,454568860.1,43.7009944,61.03898655,14.83592246,0.78,1875
Poland,1995,3659000000.0,20.78073379,22.94122761,,1.96,250
Portugal,1995,684572213.8,33.14474029,26.76973187,,1.71,0
Paraguay,1995,94500000.0,56.28904682,61.77502737,1.977769598,2.28,375
Qatar,1995,93560000.0,43.32928389,44.33866814,,,0
Romania,1995,419000000.0,30.66118309,25.63004231,,2.61,0
Rwanda,1995,2000000.0,25.82138124,5.150791913,,0.61,2312
Saudi Arabia,1995,-1874666667.0,27.70390487,37.337867,0.036106837,9.28,0
Sudan,1995,12000000.0,9.802956516,4.969441971,19.09829413,1.67,3875
Senegal,1995,31673945.42,32.06854401,20.65685942,32.09349451,1.31,0
Singapore,1995,11942852103.0,164.338323,181.1209409,0.010759962,4.18,0
Sierra Leone,1995,7287055.908,26.44081405,18.58843638,73.12012925,1.97,5000
El Salvador,1995,38037218.6,37.80625308,21.55450126,8.534786445,1.18,1125
Somalia,1995,1000000.0,,,,,5000
Slovenia,1995,150400000.0,47.67907954,45.4376795,0.513356662,1.57,0
Sweden,1995,14939375567.0,31.4764264,37.12403102,,2.16,0
Seychelles,1995,45884323.21,43.07751004,10.31506767,3.769094263,2.28,0
Chad,1995,32611570.1,33.76753903,21.92901755,,1.39,0
Togo,1995,-7813307.22,37.40955385,32.43691281,26.83234758,1.86,0
Thailand,1995,2067936429.0,48.22382987,41.53234507,0.948696077,2.27,250
Tajikistan,1995,10000000.0,71.93280802,65.58309456,,1.1,3125
Turkmenistan,1995,233000000.0,84.20659509,83.97292945,,2.32,0
Trinidad and Tobago,1995,298934269.1,,,0.916167874,,625
Tunisia,1995,275971451.2,48.81009629,44.90435027,0.781542167,1.74,0
Tanzania,1995,119936653.8,41.5076974,24.07472273,38.1805154,1.63,312
Uganda,1995,121200000.0,20.83115353,11.79199233,52.03079709,2.1,1875
Ukraine,1995,267000000.0,50.15644699,47.07324949,,2.04,562
Uruguay,1995,156600000.0,19.10086203,18.99681281,1.641346802,2.71,500
Uzbekistan,1995,-24000000.0,,,,1.11,0
South Africa,1995,1248424933.0,19.44017317,20.03786061,1.032931902,2.12,250
Zambia,1995,107000000.0,36.32574798,32.90102671,,1.45,0
Zimbabwe,1995,117700000.0,40.920449,38.23634361,,3.18,437
Afghanistan,1996,690000.0,,,,,5000
Angola,1996,180559000.0,,,7.68019767,2.45,1875
Albania,1996,90100000.0,33.27511148,11.62033323,20.1762663,1.38,125
United Arab Emirates,1996,300519999.9,,,,,0
Argentina,1996,6948536687.0,11.07787165,10.42859676,0.305178447,1.24,1250
Armenia,1996,17570000.0,55.98955662,23.2400035,31.09599713,3.28,562
Australia,1996,4563952446.0,19.34291045,18.8901429,,1.93,125
Austria,1996,4323513092.0,35.83439501,34.24927611,,1.05,0
Azerbaijan,1996,627277000.0,55.92110078,24.92863939,5.33656174,2.25,1875
Burundi,1996,0.0,15.75340125,5.820321019,69.62473851,5.86,6625
Belgium,1996,14063900000.0,58.0203848,61.19239096,,1.54,375
Benin,1996,-14661253.78,30.01897989,26.49881155,35.98341962,,0
Burkina Faso,1996,16225134.4,27.61669256,10.56360521,,1.29,0
Bangladesh,1996,13529831.54,16.36958007,9.70650765,12.62320169,1.54,3750
Bulgaria,1996,109000000.0,37.32373663,48.49705483,,2.4,1562
Bahrain,1996,2048151880.0,76.20189497,87.9135243,1.558531684,5.27,250
Bosnia and Herzegovina,1996,,83.88233728,23.61770625,,,2625
Belarus,1996,104500000.0,50.42509604,46.34980374,,1.26,125
Belize,1996,16580000.0,37.91786278,41.85623201,5.953880975,0.94,0
Bolivia,1996,474100000.0,27.27442079,22.58187058,38.61864911,1.99,1500
Brazil,1996,12552000000.0,8.905381793,6.730209683,0.308576202,1.65,375
Botswana,1996,71182310.71,37.12713079,53.82844448,2.905969329,2.9,0
Central African Republic,1996,10925575.5,25.61401875,21.47038628,,1.21,2187
Canada,1996,8817677647.0,33.16163352,37.09843993,,1.4,375
Switzerland,1996,4880219416.0,37.72469708,41.02778787,,1.28,0
Chile,1996,4814616000.0,27.97030239,25.9504475,0.797673488,2.45,0
China,1996,40180000000.0,15.89144991,17.92329555,1.527415087,1.65,500
Cameroon,1996,104417058.4,20.85312013,24.26249197,14.10669828,1.22,0
Colombia,1996,3111676590.0,20.84464548,15.1994617,1.015741664,4.45,4625
Costa Rica,1996,426950000.0,44.04517099,40.01199302,-0.004544471,,437
Cuba,1996,,17.31197254,15.31336107,,,0
Cyprus,1996,233749453.8,70.64128963,70.20764086,0.401299946,4.52,875
Germany,1996,15591797829.0,22.14559327,22.86002769,,1.47,312
Djibouti,1996,3263542.294,,,37.71840979,5.08,0
Denmark,1996,773444115.8,31.40388239,37.06738363,,1.64,0
Dominican Republic,1996,134200000.0,37.75578114,34.88670973,1.488339435,0.63,0
Algeria,1996,270000000.0,23.94469955,29.76044833,,3.09,3437
Ecuador,1996,499680000.0,21.942418,22.27328469,3.821409908,1.95,0
Eritrea,1996,36669547.22,87.38374994,29.23377036,25.33689044,20.34,4000
Spain,1996,9801379213.0,23.21285847,23.0323608,,1.81,437
Estonia,1996,165850731.4,71.69819319,61.27924956,,0.87,0
Ethiopia,1996,21930000.0,,,57.18828361,2.12,0
Finland,1996,752969481.7,29.40254499,36.31946553,,1.53,0
Fiji,1996,-72186987.81,58.86114087,62.8648902,3.480356635,1.42,0
France,1996,21971888803.0,21.27367508,23.05564473,,2.41,0
Gabon,1996,-285112515.1,33.00765586,62.66324499,4.714664262,,0
United Kingdom,1996,32412668835.0,25.88261668,26.36119179,,2.72,812
Georgia,1996,,32.37034509,13.32620396,,2.21,1875
Ghana,1996,120000000.0,40.09276196,32.11218217,25.65216612,0.29,0
Guinea,1996,23774000.0,24.34507264,19.19510114,28.29961144,,312
Guinea-Bissau,1996,1030000.0,31.83576744,10.52440406,172.6552094,0.57,0
Equatorial Guinea,1996,376180404.2,,,5.906456678,,0
Greece,1996,1058000000.0,23.20927614,14.28695712,,3.31,125
Guatemala,1996,76900000.0,22.58283566,17.8101173,4.798698135,0.9,2500
Guyana,1996,59000000.0,108.7162232,102.6213093,11.1320049,0.79,125
Honduras,1996,90900000.0,60.69144296,54.75940466,9.37814251,,2187
Croatia,1996,492528182.7,36.75222643,30.31159053,1.304128803,8.16,125
Haiti,1996,4100000.0,28.89574892,11.32763093,41.81526386,,875
Hungary,1996,3288936449.0,41.40941732,41.88278935,,1.26,0
Indonesia,1996,6194000000.0,26.44019168,25.82455198,1.588615059,1.26,2937
India,1996,2426057022.0,11.5443186,10.38516927,3.193457323,2.47,937
Ireland,1996,2617483000.0,63.96111976,74.9070403,,0.99,0
Iraq,1996,-1994000.0,0.017726709,0.009161774,,,2687
Iceland,1996,83381484.12,35.30622308,35.79893191,,,0
Israel,1996,1397100000.0,32.86768828,25.9869284,5.198110023,7.73,2125
Italy,1996,3548937154.0,19.17401611,23.70468222,,1.59,500
Jamaica,1996,135700000.0,52.47433123,45.24991073,1.475099857,0.57,437
Jordan,1996,15514809.59,78.18022437,52.87889893,8.734336233,6.03,437
Japan,1996,-38203596.34,8.938123142,9.315745084,,0.91,250
Kazakhstan,1996,1137000000.0,36.00476836,35.26880493,1.512876468,1.2,0
Kenya,1996,108672931.6,32.11150875,25.20060195,10.1755275,1.42,0
Cambodia,1996,293600000.0,43.79756006,25.36400674,27.76157132,3.24,3125
Kuwait,1996,347351454.6,39.18719708,52.28494766,,10.29,125
Lebanon,1996,80000000.0,55.25029276,12.84632,,5.66,0
Liberia,1996,-132130000.0,,,,,2187
Libya,1996,-111721670.8,23.89162562,28.65353038,0.054543908,,312
Sri Lanka,1996,119874349.7,43.90062594,34.97333778,5.367357488,5.52,3125
Lesotho,1996,29073745.83,,,6.441370434,2.82,0
Lithuania,1996,152400000.0,51.24974398,41.9533878,,0.5,0
Luxembourg,1996,,87.65580851,107.9810981,,0.59,0
Latvia,1996,331352000.0,49.42346608,40.41531714,,0.64,0
Morocco,1996,357393801.8,25.25956849,21.83597496,5.955031309,3.95,0
Moldova,1996,23740000.0,73.90928088,55.32825516,,0.91,0
Madagascar,1996,10161891.8,18.8575986,17.02486156,30.85304257,1.24,250
Mexico,1996,9185600000.0,23.04469158,24.72313195,0.353334796,0.48,5250
Mali,1996,27209332.17,33.62294378,18.87147761,48.80191621,1.43,0
Malta,1996,312996147.0,123.8822826,114.1001794,1.993938893,0.87,0
Mongolia,1996,15900000.0,42.44975005,35.52432564,27.56675445,1.78,0
Mozambique,1996,72500000.0,,,,1.11,0
Mauritania,1996,-435540.0,31.29247629,39.16341347,43.6826593,2.63,0
Mauritius,1996,36661330.28,64.27226624,63.58556981,0.704845066,0.29,0
Malawi,1996,15797661.13,,,60.20380019,0.88,0
Malaysia,1996,5078414948.0,90.19083127,91.57615121,-0.465477301,2.4,0
Namibia,1996,128693897.3,51.13957276,45.40465121,7.875299158,1.9,0
Niger,1996,8630591.39,21.24407318,15.29592446,45.28758432,0.86,1875
Nigeria,1996,499276809.5,,,4.182618737,0.41,125
Nicaragua,1996,120000000.0,31.63548019,16.84735811,54.16063675,0.95,2437
Netherlands,1996,16604370594.0,51.3445049,57.38846572,,1.76,0
Norway,1996,3827495491.0,30.76918701,39.43244914,,2.16,0
Nepal,1996,19160171.09,35.64019356,22.81757514,18.72481791,0.9,1062
New Zealand,1996,3918617040.0,26.76729211,28.34887884,,1.78,437
Oman,1996,60599999.21,35.7659636,49.81019015,1.32639191,9.41,0
Pakistan,1996,921976182.5,21.42702506,16.90310178,3.856556474,6.04,3312
Panama,1996,428300000.0,84.71969184,71.28692343,0.632556725,1.09,375
Peru,1996,3471149000.0,18.33768417,13.31651992,2.700013323,2.5,6625
Philippines,1996,1517000000.0,34.96858218,28.88672137,1.952575295,2.27,4125
Papua New Guinea,1996,109832527.8,48.39884469,59.40450793,13.77490427,1.02,2500
Poland,1996,4500000000.0,23.48314529,22.06915075,,1.97,0
Portugal,1996,1571447865.0,33.66134017,26.54846488,,1.6,0
Paraguay,1996,139800000.0,50.29476563,52.74050158,1.299939473,2.06,3000
Qatar,1996,338870000.0,39.78347889,43.72574217,,,1875
Romania,1996,263000000.0,34.32387576,26.45749361,,2.37,0
Rwanda,1996,2220000.0,26.1986958,6.031370021,,5.33,1875
Saudi Arabia,1996,-1127466667.0,26.6310169,40.02284766,0.026939944,8.47,0
Sudan,1996,400000.0,13.86956957,6.160273639,14.15342324,1.27,3437
Senegal,1996,13955558.76,28.18826732,18.08416539,31.70607415,1.24,0
Singapore,1996,11432363956.0,159.2680509,175.6431124,,4.25,0
Sierra Leone,1996,663927.9052,32.15029606,17.4452346,52.66738722,1.35,3750
El Salvador,1996,,34.14086883,21.1409879,8.790602704,1.07,250
Somalia,1996,1300000.0,,,,,3125
Slovenia,1996,173300000.0,47.37843065,46.13090086,0.799844283,1.54,0
Sweden,1996,5491883748.0,30.50964152,36.02886681,,2.14,0
Seychelles,1996,28812973.89,70.74362646,27.31171701,4.737138054,2.1,0
Chad,1996,39466173.5,29.06652395,17.54350925,,1.54,0
Togo,1996,2253923.414,44.14038931,33.28203792,18.47317501,,0
Thailand,1996,2335837475.0,45.2557278,39.0184202,0.915321086,2.15,250
Tajikistan,1996,18000000.0,80.06478599,76.60580415,,1.29,2000
Turkmenistan,1996,108060000.0,77.93548387,74.58064516,,2.04,0
Trinidad and Tobago,1996,355399933.9,,,0.550649147,,0
Tunisia,1996,238337799.3,43.61097853,42.10937623,1.327812707,1.87,0
Tanzania,1996,150066382.0,31.94350737,19.93716494,38.17154051,1.56,0
Uganda,1996,121000000.0,23.42437361,11.96111327,38.77060981,2.21,1875
Ukraine,1996,521000000.0,48.20471301,45.65193206,,2.19,437
Uruguay,1996,136800000.0,19.85845666,19.6699798,0.791590935,2.81,0
Uzbekistan,1996,90000000.0,,,,1.23,0
South Africa,1996,816389273.8,20.42450851,21.77474322,0.966314398,1.76,312
Zambia,1996,127100000.0,35.34257296,28.47890922,,1.05,0
Zimbabwe,1996,80900000.0,35.93954767,36.13007288,,2.88,0
Afghanistan,1997,-1460000.0,,,,,3125
Angola,1997,411660000.0,,,5.687710044,5.97,1250
Albania,1997,47500000.0,35.22842897,10.19712728,24.11510627,1.28,7562
United Arab Emirates,1997,232430000.0,,,,6.76,0
Argentina,1997,9160272052.0,12.77532874,10.5608501,0.201978363,1.14,2437
Armenia,1997,51940000.0,58.27447567,20.27326939,16.32725994,3.91,0
Australia,1997,8088068983.0,18.85334986,19.12748242,,1.87,0
Austria,1997,2668974816.0,37.83960748,37.02808274,,1.05,0
Azerbaijan,1997,1114838000.0,53.04435931,29.03460723,8.627611524,2.32,250
Burundi,1997,0.0,14.43990665,9.835472579,38.20116057,6.36,2125
Belgium,1997,11998300000.0,60.90235898,64.78658108,,1.48,125
Benin,1997,12183267.34,31.53549502,27.17613459,27.83126957,,0
Burkina Faso,1997,9765809.0,26.60388778,10.812531,,1.42,0
Bangladesh,1997,139376153.1,15.80514283,10.52037056,10.74585427,1.57,1875
Bulgaria,1997,504800000.0,36.88754893,49.57618754,,2.43,1750
Bahrain,1997,329284164.2,69.50529596,79.07678218,1.68472776,5.07,0
Bosnia and Herzegovina,1997,,72.79732986,27.8336349,,,125
Belarus,1997,351600000.0,65.65629856,59.8598806,,1.77,0
Belize,1997,11955000.0,41.75439232,43.89797389,3.396980575,1.08,0
Bolivia,1997,730600000.0,29.35905992,21.11060289,26.65588951,2.27,687
Brazil,1997,18992934311.0,9.592559686,6.983649575,0.233589875,1.58,375
Botswana,1997,100109748.7,47.7236766,60.88073855,3.883132939,3.2,0
Central African Republic,1997,1497424.0,28.9342281,26.88428026,,,1875
Canada,1997,15182400422.0,36.20363989,38.13297019,,1.25,0
Switzerland,1997,8391921106.0,41.97549765,46.49448081,,1.22,0
Chile,1997,5271400000.0,28.22129391,25.87800427,0.482177749,2.5,500
China,1997,45439000000.0,15.0398529,19.49316446,1.801047051,1.63,1000
Cameroon,1997,149614497.8,21.81897994,26.65065533,15.99640254,1.3,0
Colombia,1997,5562216362.0,20.75552435,14.84154374,0.883457361,2.8,6187
Costa Rica,1997,409440000.0,46.00412978,41.60906831,0.07345279,,0
Cuba,1997,,17.83023096,14.92396797,,,0
Cyprus,1997,546519214.6,70.57735073,69.18559249,,5.57,0
Germany,1997,18638443894.0,24.28238534,25.36027331,,1.41,125
Djibouti,1997,3100365.179,,,32.62910532,5.47,1250
Denmark,1997,2791671359.0,33.40560135,37.76286105,,1.62,0
Dominican Republic,1997,408700000.0,39.01094963,35.22228754,1.024273256,0.8,625
Algeria,1997,260000000.0,21.33760013,30.90631138,,3.64,3750
Ecuador,1997,723950000.0,23.48226011,21.53492621,2.179907979,2.1,1875
Eritrea,1997,40797036.65,85.79995387,29.61482279,19.44175019,11.86,0
Spain,1997,9433660065.0,25.49646811,25.66978901,,1.72,875
Estonia,1997,274049611.9,80.6689785,70.38236589,,1.05,0
Ethiopia,1997,288490000.0,,,39.61351799,3.34,0
Finland,1997,2454075989.0,30.44392502,37.77739673,,1.54,0
Fiji,1997,-60193603.13,58.54652704,61.15124602,3.362531231,1.36,0
France,1997,23047924755.0,22.51030147,25.52319542,,2.38,250
Gabon,1997,-114712203.8,37.23225371,61.30401081,1.418324086,,0
United Kingdom,1997,51311836384.0,25.20439897,25.76900688,,2.56,1562
Georgia,1997,242500000.0,42.14284177,15.61022415,16.44448966,1.25,0
Ghana,1997,81800000.0,52.99154704,32.41029093,18.68300679,0.29,0
Guinea,1997,17301000.0,22.85398222,19.56108748,39.91940702,1.17,0
Guinea-Bissau,1997,11479108.8,39.88313465,21.01676321,120.9733814,0.65,0
