Year,Country,PI,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu
1960,Portugal,0,,,,,,,,
1960,Paraguay,6500,,,,,,,,
1960,Romania,0,,,,,,,,
1960,Saudi Arabia,1875,,,,,,,,
1960,Sudan,0,,,,,,,,
1960,Senegal,0,,,,,,,,
1960,El Salvador,2375,,,,,,,,
1960,Sweden,0,,,,,,,,
1960,Togo,0,,,,,,,,
1960,Thailand,0,,,,,,,,
1960,Tunisia,0,,,,,,,,
1960,Uruguay,375,,,,,,,,
1960,South Africa,6375,,,,,,,,
1965,Afghanistan,0,,,,,,32.535,,0.37
1965,Albania,0,,,,,,54.439,,2.98
1965,Argentina,625,7410.305029,,,,,63.978,,5.67
1965,Australia,0,19904.94341,,,,3.728813559,70.81707317,,8.53
1965,Austria,0,12051.15117,,,,1.945749352,68.58560976,,5.86
1965,Burundi,.,,,,,,,,
1965,Belgium,562,11734.30617,,,,0.299467255,69.70195122,,7.22
1965,Benin,5625,657.2189415,,,,,38.181,,0.61
1965,Bulgaria,250,,,,,,69.24756098,,4.99
1965,Bolivia,6062,1275.17751,,,,11.53315258,43.1,,3.06
1965,Brazil,125,2578.429025,,,,,52.66,,2.55
1965,Central African Republic,0,583.648968,,,,,39.236,,0.5
1965,Canada,312,,,,,1.358695652,71.13317073,,8.34
1965,Switzerland,0,,,,,1.438794703,71.31341463,,9.04
1965,Chile,1000,3288.607468,,,,,57.015,,5.22
1965,China,0,238.217052,,,,,33.275,,2.51
1965,Cameroon,0,943.2784617,,,,,34.819,,1.08
1965,Colombia,1812,1951.042877,,,,5.814076282,57.13,,3.05
1965,Costa Rica,0,3558.990682,,,,0.790205818,60.415,,3.89
1965,Cuba,250,,,,,,64.173,,3.99
1965,Cyprus,1250,,,,,0.827300931,64.187,,5.14
1965,Denmark,125,18107.37593,,,,1.255230126,72.17658537,,5.06
1965,Algeria,.,,,,,,,,
1965,Ecuador,812,2529.871341,,,,1.676599126,53.364,,3.22
1965,Spain,250,6215.036283,,,,1.177771084,69.10926829,,4.18
1965,Finland,0,11425.29343,,,,3.418127254,68.8197561,,4.18
1965,France,312,11169.64724,,,,4.139935755,69.86829268,,4.2
1965,Gabon,0,3304.691632,,,,,46.575,,1.01
1965,United Kingdom,125,14914.88076,,,,1.003575704,71.12682927,,6.86
1965,Ghana,250,1107.988683,,,,,47.096,,1.05
1965,Greece,2312,5030.743562,,,,1.477847585,69.3,,7.39
1965,Guatemala,2187,1854.789665,,,,-1.190693153,45.808,,1.4
1965,Honduras,0,1197.05629,,,,-1.746238157,48.317,,1.92
1965,Haiti,1562,1716.037591,,,,-5.030041596,43.499,,0.8
1965,Hungary,250,,,,,,68.00317073,,7.43
1965,Indonesia,5375,597.1474028,,,,39.59044369,46.452,,1.57
1965,India,5187,305.7892575,,,,1.779877847,45.218,,1.13
1965,Ireland,0,,,,,0.450837269,70.19426829,,6.72
1965,Iraq,3125,,,,,3.478237904,52.618,,0.5
1965,Iceland,0,,,,,1.988397239,73.76204878,,6.14
1965,Israel,125,,,,,2.228112421,,,7.66
1965,Italy,0,9687.647006,,,,2.350161414,69.12390244,,4.86
1965,Jamaica,.,,,,,,,,
1965,Jordan,0,,,,,,52.617,,2.41
1965,Japan,125,6260.67597,,,,3.574511525,67.69560976,,7.76
1965,Kenya,.,,,,,,,,
1965,Cambodia,0,,,,,,42.361,,1.18
1965,Kuwait,.,,,,,,,,
1965,Liberia,0,,,,,,38.33,,0.73
1965,Sri Lanka,0,,,,,-1.544676806,60.699,,3.98
1965,Luxembourg,0,25520.18243,,,,0.449620296,68.59253659,,4.51
1965,Morocco,812,,,,,3.424299065,42.017,,0.49
1965,Maldives,.,,,,,,,,
1965,Mexico,0,4197.98229,,,,4.927518869,55.017,,2.52
1965,Mali,0,,,,,,29.754,,0.2
1965,Malta,.,,,,,,,,
1965,Mongolia,0,,,,,,44.984,,2.52
1965,Mauritania,0,,,,,,44.767,,1.43
1965,Malawi,.,,,,,,,,
1965,Malaysia,1750,1286.103398,,,,0.063182598,56.502,,2.83
1965,Niger,0,744.026216,,,,,36.404,,0.38
1965,Nicaragua,0,1665.422616,,,,,46.125,,2.17
1965,Netherlands,0,14276.87006,,,,2.323943662,73.39268293,,6.19
1965,Norway,0,19134.05988,,,,0.360492347,73.5497561,,7.48
1965,Nepal,0,325.7304275,,,,,38.559,,0.13
1965,New Zealand,0,,,,,0.697929234,71.23658537,,9.9
1965,Pakistan,312,411.7556261,,,,6.947368421,44.932,,1.15
1965,Panama,437,2723.059769,,,,0.051177072,60.702,,4.59
1965,Peru,1500,2704.879948,,,,8.664459163,50.495,,3.21
1965,Philippines,1375,1100.310897,,,,4.15482178,59.227,,3.46
1965,Poland,0,,,,,,67.6804878,,6.04
1965,Portugal,750,3934.944738,,,,3.046592778,64.00746341,,2.28
1965,Paraguay,0,1499.155404,,,,8.181818182,60.423,,3.43
1965,Romania,0,,,,,,65.86053659,,5.18
1965,Rwanda,.,,,,,,,,
1965,Saudi Arabia,0,,,,,,45.94,,2.71
1965,Sudan,3937,1407.0625,,,,0.092240286,46.603,,0.48
1965,Senegal,0,1174.819175,,,,,39.878,,2.08
1965,Singapore,.,,,,,,,,
1965,Sierra Leone,.,,,,,,,,
1965,El Salvador,0,,,,,-0.038974199,48.084,,1.97
1965,Sweden,0,16525.36105,,,,4.141779151,73.00560976,,7.56
1965,Togo,0,455.2586622,,,,,42.692,,0.49
1965,Thailand,1250,598.1496473,,,,-0.765864333,51.035,,2.55
1965,Trinidad and Tobago,.,,,,,,,,
1965,Tunisia,0,,,,,,43.94,,0.92
1965,Uganda,.,,,,,,,,
1965,Uruguay,250,6636.645979,,,,38.5040374,67.772,,4.87
1965,South Africa,250,3974.033611,,,,1.288859035,52.669,,4.39
1965,Zambia,.,,,,,,,,
1965,Zimbabwe,.,,,,,,,,
1970,Afghanistan,375,,,,,,34.953,,0.42
1970,Albania,0,,,,,,60.019,,3.41
1970,Argentina,17687,8241.529337,10.56943334,,,,64.593,,5.94
1970,Australia,625,22455.04559,5.980351,,,3.405572755,70.8502439,,8.93
1970,Austria,250,14471.82132,3.480174918,,,4.930916377,69.72219512,,6.69
1970,Burundi,0,277.1879515,3.967225609,,,,42.005,,0.81
1970,Belgium,250,14489.4451,3.56065984,,,4.065201375,70.62536585,,7.33
1970,Benin,375,706.9956759,5.293862829,,,,40.184,,0.76
1970,Bulgaria,0,,,,,,71.29390244,,4.45
1970,Bolivia,18000,1442.2216,4.913441956,,,2.860286029,44.712,,3.57
1970,Brazil,7500,2746.258042,2.4,,,,55.084,,2.85
1970,Barbados,0,,,,,,,,
1970,Botswana,0,,,,,,,,
1970,Central African Republic,0,548.1902908,0.947578712,,,,41.929,,0.6
1970,Canada,6312,,6.316714176,,,2.332657201,71.87219512,,8.65
1970,Switzerland,0,,,,,3.414478608,72.20170732,,9.36
1970,Chile,11000,3571.140673,0.950272505,,,,59.455,,5.66
1970,China,812,232.6072068,16.95,,,,52.912,,3.11
1970,Cameroon,0,969.43166,2.026053715,,,,43.889,,1.43
1970,Colombia,2687,2107.61036,3.60001139,,,7.590683669,59.815,,3.42
1970,Costa Rica,0,3850.155204,8.190527594,,,-0.665000001,62.663,,4.12
1970,Cuba,2750,,,,,,66.318,,4.49
1970,Cyprus,4312,,,,,0.202839757,67.052,,5.54
1970,Denmark,0,22519.81153,4.555254814,,,5.449999999,72.37073171,,5.72
1970,Algeria,0,2030.636067,6.206898211,,,,42.714,,1.1
1970,Ecuador,6562,2734.524124,3.275082488,,,3.069070662,55.664,,3.9
1970,Spain,4875,8932.557047,6.253134899,,,13.21413784,70.80926829,,4.48
1970,Finland,250,14065.67368,5.302857802,,,4.940588068,68.97780488,,4.84
1970,Fiji,0,,,,,,,,
1970,France,6687,14089.58455,4.861507696,,,2.703104559,70.81219512,,4.65
1970,Gabon,0,4591.270721,8.33333566,,,2.438473696,49.752,,1.42
1970,United Kingdom,2750,16876.01736,2.142176544,,,4.773774554,71.62439024,,7.46
1970,Ghana,250,1139.535293,1.36899887,,,26.44478485,47.778,,1.95
1970,Greece,4000,7549.407366,10.76801051,,,3.22087247,71.42831707,,6.41
1970,Guatemala,11750,2071.636654,4.361769315,,,-0.8,47.814,,1.48
1970,Guyana,0,,,,,,,,
1970,Honduras,250,1327.81998,9.037156489,,,3.18627451,51.465,,2.1
1970,Haiti,3687,1616.856302,2.161797861,,,2.263942573,45.351,,0.95
1970,Hungary,0,,,,,,69.07121951,,7.6
1970,Indonesia,1000,574.8178081,1.081589467,,,306.7631103,42.599,,2.17
1970,India,11000,322.823222,-2.63577011,,,9.474758592,44.98,,1.3
1970,Ireland,1250,,,,,4.988123515,70.695,,7.09
1970,Iraq,3625,,,,,-0.455580866,56.616,,0.85
1970,Iceland,0,,7.371729299,,,7.317069428,73.86878049,,6.56
1970,Israel,2000,,9.093965599,,,7.708333264,,,8.11
1970,Italy,5000,12023.41272,3.26802372,,,4.519268307,70.17170732,,5.23
1970,Jamaica,0,,,,,2.631578947,65.972,,4.4
1970,Jordan,26125,,,,,,57.415,,3.0
1970,Japan,375,9319.706558,5.819707873,,,6.655990943,70.26682927,,7.48
1970,Kenya,0,761.8561928,2.009094171,,,3.578528828,51.7,,1.69
1970,Cambodia,51625,,,,,,44.789,,1.46
1970,Kuwait,0,,,,,,62.219,,2.85
1970,Liberia,0,,,,,,38.812,,0.93
1970,Sri Lanka,625,671.0563375,2.536953536,,,0.222783306,62.637,,4.33
1970,Lesotho,4875,,,,,,,,
1970,Luxembourg,0,28173.26665,-0.734933604,,,3.333679329,69.02541463,,5.33
1970,Morocco,250,,,,,3.48282122,45.973,,0.71
1970,Maldives,0,,,,,,41.383,,3.66
1970,Mexico,250,5072.63136,7.099999997,,,3.568038657,58.499,,2.96
1970,Mali,0,,,,,,30.623,,0.24
1970,Malta,250,,,,,1.602218456,68.40156098,,4.86
1970,Mongolia,0,,,,,,49.619,,3.21
1970,Mauritania,0,1614.388784,16.1383305,,,,48.059,,1.52
1970,Mauritius,0,,,,,,,,
1970,Malawi,0,287.9254959,13.61649342,,,,35.724,,1.21
1970,Malaysia,6250,1545.430486,7.684863475,,,-0.105485232,60.95,,3.39
1970,Niger,0,867.0845952,6.919761818,,,4.373757456,36.753,,0.4
1970,Nicaragua,0,2312.252303,9.525155826,,,,50.193,,2.58
1970,Netherlands,250,17423.25487,8.643094936,,,3.908037828,73.56878049,,7.31
1970,Norway,250,23074.75689,5.285608801,,,4.18722444,73.72317073,,7.86
1970,Nepal,0,331.4827022,-1.203189018,,,8.471869328,40.446,,0.27
1970,New Zealand,250,,,,,3.397489756,71.22682927,,9.97
1970,Pakistan,1625,521.8020801,10.41936582,,,5.568635479,49.444,,1.39
1970,Panama,312,3478.936629,9.160036262,,,0.461613217,63.558,,4.84
1970,Peru,500,3238.783309,5.621733449,,,16.38996139,53.183,,3.7
1970,Philippines,8375,1234.291002,5.345089329,,,2.564102564,60.898,,3.93
1970,Poland,2625,,,,,,69.42926829,,6.72
1970,Portugal,5562,5271.646673,7.46898853,,,3.424927777,65.96046341,,2.46
1970,Paraguay,250,1695.689752,6.167974756,,,3.859298158,61.819,,3.69
1970,Romania,250,,,,,,67.70726829,,5.59
1970,Rwanda,0,272.5155651,7.009529255,,,,48.282,,0.94
1970,Saudi Arabia,0,,,,,0.389105059,48.782,,3.05
1970,Sudan,9000,1348.700562,6.777074073,,,-2.446029391,46.935,,0.59
1970,Senegal,0,1124.694523,1.332189491,,,,39.838,,2.11
1970,Singapore,2750,4214.509287,7.834260465,,,0.178611297,67.5125122,,4.36
1970,Sierra Leone,312,562.0935194,7.180155792,,,,36.363,,0.67
1970,El Salvador,0,2653.550905,,,,0.456974673,50.897,,2.36
1970,Sweden,250,20583.86673,3.821507586,,,5.012771296,73.86170732,,7.96
1970,Togo,1875,666.0528801,15.45971271,,,,43.97,,0.61
1970,Thailand,6875,727.2735879,8.181661538,,,0.166333998,54.712,,2.28
1970,Tonga,0,,,,,,,,
1970,Trinidad and Tobago,4125,5236.750084,0.693850281,,,1.781617984,64.147,,5.98
1970,Tunisia,250,1089.602213,,,,,48.428,,1.3
1970,Uganda,1000,,,,,,48.24,,1.24
1970,Uruguay,5000,6549.795621,1.045604054,,,56.55655656,68.294,,5.2
1970,South Africa,1500,4640.319987,6.122798096,,,4.069028735,54.192,,4.45
1970,Zambia,0,1368.07826,16.64745596,,,,50.563,,2.57
1970,Zimbabwe,3125,1157.207401,4.910570587,,,,55.459,,2.51
1975,Afghanistan,0,,,,,,37.418,,0.69
1975,Albania,0,,,,,,64.824,,4.28
1975,United Arab Emirates,0,,,,,,,,
1975,Argentina,8937,9257.895572,3.045643319,,,,65.589,,6.31
1975,Australia,500,26829.52862,7.175799265,,,3.439153439,71.01853659,,9.7
1975,Austria,0,18101.99195,6.321142632,,,4.372824416,69.91463415,,7.4
1975,Burundi,0,350.7127782,21.32567073,,,-0.199650611,43.041,,1.06
1975,Belgium,0,17849.49471,5.582858284,,,3.908472385,70.97195122,,7.66
1975,Benin,1875,730.5233477,2.097757581,,,,42.189,,0.84
1975,Bangladesh,3937,,,,,,,,
1975,Bulgaria,0,,,,,,71.25634146,,6.13
1975,Bahrain,0,,,,,,,,
1975,Bolivia,250,1759.665165,5.231029301,,,3.955509211,46.597,,4.0
1975,Brazil,0,3558.852333,10.4,,,,57.171,,3.29
1975,Barbados,0,,,,,7.284216374,68.272,,8.31
1975,Botswana,0,782.9417105,17.12026767,,,,55.197,,2.14
1975,Central African Republic,0,574.0636177,2.332880877,,,,45.072,,0.82
1975,Canada,250,,,,,3.346039814,72.7004878,,9.14
1975,Switzerland,0,,,,,3.615986786,73.0202439,,9.72
1975,Chile,312,4133.493945,1.82896697,,,,62.491,,6.09
1975,China,750,283.5853563,19.3,,,,56.607,,3.82
1975,Cameroon,0,916.2852853,3.092068234,,,5.858085809,47.583,,1.81
1975,Colombia,2000,2410.399192,6.207796961,,,6.908622758,61.569,,3.91
1975,Costa Rica,0,4623.012974,7.503134343,,,4.652297493,65.361,,3.94
1975,Cuba,0,2606.719691,,,,,68.398,,5.3
1975,Cyprus,125,,,,,2.40018825,68.927,,5.88
1975,Denmark,0,26927.95904,1.596841805,,,6.514841417,73.34341463,,6.78
1975,Algeria,250,2483.445445,8.86265711,,,6.599999999,43.16,,1.55
1975,Ecuador,1875,2810.64323,6.87192933,,,5.17127612,57.152,,4.42
1975,Spain,5500,11436.03312,4.289182957,,2002.510415,5.731144843,72.02731707,,5.59
1975,Finland,250,17128.63075,4.813736796,,,2.740420431,70.1795122,,5.73
1975,Fiji,0,2697.40889,12.70271113,,,4.124178563,61.713,,5.57
1975,France,2812,17605.63897,6.108679813,37.1,,5.299641246,71.65853659,,4.75
1975,Gabon,0,5515.177414,8.679342176,,,3.812664908,52.555,,1.82
1975,United Kingdom,3437,19284.48692,4.308885985,28.0,,6.366568417,71.97317073,,7.91
1975,Ghana,0,1159.638305,9.723472587,,,3.030303031,47.805,,3.06
1975,Greece,2750,10726.71543,8.56477754,,,2.841670679,72.77080488,,6.52
1975,Guatemala,0,2398.718594,5.707883598,,,2.344339349,49.439,,1.72
1975,Guyana,0,3119.135607,4.255456893,,,,60.469,,5.66
1975,Honduras,3250,1423.992853,3.62672094,,,2.880886427,54.44,,2.33
1975,Haiti,0,1549.119432,0.651153708,,,1.368493407,47.337,,1.18
1975,Hungary,0,,,,,,69.16463415,,8.08
1975,Indonesia,0,670.1360337,7.554634515,,,12.39946465,52.992,,2.84
1975,India,3125,361.4861218,5.157229737,,,5.09226162,48.241,,1.61
1975,Ireland,0,12100.73159,,,,8.207190161,70.90156098,,7.67
1975,Iraq,3125,1289.328883,4.544357067,,,4.355595265,60.186,,1.43
1975,Iceland,0,,,,,13.37247515,73.93390244,,7.01
1975,Israel,0,,,,,6.110742036,71.21341463,,8.66
1975,Italy,4500,15736.18363,5.268692979,,,4.968319873,71.55878049,,5.63
1975,Jamaica,0,4812.562072,12.06440904,,,14.7280042,66.702,,4.86
1975,Jordan,0,,,,,5.899999999,59.87,,3.47
1975,Japan,562,14114.31582,2.454958384,,,6.924173835,71.9197561,,7.83
1975,Kenya,1312,824.2403319,-4.655446916,,,2.188527039,53.575,,2.17
1975,Cambodia,3375,,,,,,39.129,,1.82
1975,Kuwait,0,,,,,,66.53,,3.27
1975,Liberia,0,,,,,,40.599,,1.15
1975,Sri Lanka,312,790.7999592,3.846629857,,,5.866956078,65.267,,6.38
1975,Lesotho,0,310.2667207,2.177071169,,,,51.012,,3.55
1975,Luxembourg,0,35513.80099,11.09445281,,,4.639353444,69.59321951,,6.21
1975,Morocco,0,1029.484741,4.713460376,,,1.279181324,48.807,,0.98
1975,Maldives,1875,,,,,,45.068,,4.02
1975,Mexico,1687,5835.13102,6.502484035,,,5.003412055,60.69,,3.39
1975,Mali,0,359.2371061,6.136954863,,,,32.532,,0.29
1975,Malta,0,3135.285472,,,,3.715658848,69.06556098,,5.82
1975,Mongolia,0,,,,,,52.678,,3.56
1975,Mozambique,3375,,,,,,,,
1975,Mauritania,0,1801.726935,11.98593115,,,,51.038,,1.66
1975,Mauritius,0,,,,,1.541865943,61.00036585,,4.93
1975,Malawi,0,322.7075608,0.479297978,,,,36.731,,1.57
1975,Malaysia,1562,1832.258725,5.98653863,,,1.843935966,63.111,,4.2
1975,Niger,0,734.0142362,3.055778922,,,1.117838845,36.062,,0.44
1975,Nicaragua,1250,2376.803107,1.35382659,,,,54.95,,3.03
1975,Netherlands,0,21362.84766,6.140181648,,,3.668930888,73.58560976,,8.2
1975,Norway,0,26735.83041,2.344780828,,,10.63720653,74.08804878,,8.32
1975,Nepal,0,338.5348344,2.575992127,,,15.23727845,42.827,,0.5
1975,New Zealand,0,,,,,6.517181052,71.27317073,,10.93
1975,Pakistan,625,640.9175865,11.35346172,,,5.34984091,54.76,,1.58
1975,Panama,125,4357.457066,6.959226108,,,3.083294984,65.083,,5.21
1975,Peru,3000,3389.141331,3.365946003,,,5.025235901,47.16,,4.36
1975,Philippines,3812,1355.372201,3.692487487,,,14.38146168,61.692,,4.71
1975,Papua New Guinea,.,,,,,,,,
1975,Poland,0,,,,,,69.86829268,,7.35
1975,Portugal,6312,7658.74429,12.61260546,,,6.38014449,67.07317073,,2.93
1975,Paraguay,0,1940.184144,5.553425733,,,-0.859556021,62.684,,4.14
1975,Qatar,0,,,,,,,,
1975,Romania,0,,,,,,67.48241463,,6.7
1975,Rwanda,0,337.4152395,6.001425247,,,0.514885808,47.153,,1.16
1975,Saudi Arabia,312,20457.64113,58.64733065,,,0.177777778,52.715,,3.22
1975,Sudan,1875,1267.748047,5.925074716,,,4.02779565,45.534,,0.73
1975,Senegal,0,1063.996691,8.562045515,,,2.810248199,40.825,,2.29
1975,Singapore,0,6997.199029,13.942003,,,0.463352991,68.91312195,,5.2
1975,Sierra Leone,0,623.8725906,8.62049324,,,,38.793,,0.84
1975,El Salvador,312,2897.824941,2.977295093,,,2.817853922,51.41,,2.83
1975,Sweden,0,24388.29821,7.28920626,,,7.016358851,74.64926829,,8.45
1975,Togo,0,760.0629908,2.524302645,,,4.480620155,46.12,,0.85
1975,Thailand,2625,973.9183257,11.40794907,,,-0.088041086,57.711,,2.51
1975,Tonga,0,,,,,,63.232,,7.09
1975,Trinidad and Tobago,0,5842.377429,3.533635678,,,2.523900574,65.057,,6.4
1975,Tunisia,0,1206.97075,4.669631773,,,,53.87,,1.79
1975,Uganda,0,,,,,,49.616,,1.52
1975,Uruguay,0,6896.110953,2.333213381,,,16.30614494,68.904,,5.7
1975,South Africa,2062,5115.283567,5.248661431,,,4.991877117,55.579,,4.61
1975,Zambia,0,1258.313938,4.797112903,,,,51.493,,2.98
1975,Zimbabwe,2437,1529.055965,22.56515084,,,,57.032,,3.01
1980,Afghanistan,4562,,,,,,40.1,,0.92
1980,Albania,0,,,,,,68.328,,5.35
1980,United Arab Emirates,125,105688.0871,,,,,65.08,,2.99
1980,Argentina,0,9935.938635,-0.028412104,,,,67.081,,6.85
1980,Australia,0,28257.95551,1.336442809,,,15.16245487,72.62536585,,10.52
1980,Austria,250,21629.0463,-0.363735434,,,8.445258639,71.11463415,,7.7
1980,Burundi,0,336.2171918,0.697920236,,,15.7098746,42.982,,1.28
1980,Belgium,500,20997.20683,-1.965941566,,,12.76819859,71.97121951,,8.03
1980,Benin,0,698.4851507,-4.895345447,,,,44.681,,0.94
1980,Bangladesh,1250,388.8845857,-4.088214092,,,,50.292,,1.57
1980,Bulgaria,0,,,,,,71.0497561,,7.07
1980,Bahrain,0,,,,,16.15978212,68.466,,4.02
1980,Bolivia,2937,2085.031682,7.311017731,,,7.976746025,48.826,,4.6
1980,Brazil,0,5097.708332,5.166649084,,,,59.353,,2.9
1980,Barbados,0,11321.75328,-1.900000001,,,20.29446876,69.921,,7.65
1980,Botswana,0,1449.496291,8.446250381,,,11.97475502,57.998,,2.74
1980,Central African Republic,0,571.6697629,0.404987104,,,,47.913,,1.15
1980,Canada,0,,,34.1,,10.6721886,73.52170732,,9.7
1980,Switzerland,312,,,,,6.696595225,74.66560976,,10.34
1980,Chile,625,3499.085565,-12.91210105,,,374.7352742,66.279,,6.57
1980,China,250,337.344119,8.719999998,,,,60.917,,4.48
1980,Cameroon,0,1102.132116,11.24505878,,,13.55332941,49.718,,2.42
1980,Colombia,1875,2836.5515,2.323255281,,,23.43750257,64.27,,4.36
1980,Costa Rica,0,5446.368574,2.100071049,,,17.36920202,69.4,,5.15
1980,Cuba,0,3163.012111,9.476426069,,,,71.079,,6.23
1980,Cyprus,0,6172.914551,,,,4.63948584,70.518,,6.68
1980,Denmark,0,28480.35548,-1.456644936,,,9.605612075,74.07512195,,7.46
1980,Algeria,0,2885.756037,5.045341613,,,8.230316653,46.972,,2.11
1980,Ecuador,0,3832.383151,10.972154,,,14.28967429,60.232,,4.92
1980,Spain,2875,14009.77548,0.542203214,,,16.95328593,73.31878049,,5.91
1980,Finland,0,20764.33697,1.804898277,,,17.81139723,71.67365854,,6.74
1980,Fiji,0,3269.263393,0.530211189,,,13.06488098,61.852,,6.25
1980,France,0,20498.34808,-0.959884746,35.9,,11.68592725,72.85365854,,5.76
1980,Gabon,0,11165.45181,19.19011491,,,28.45294264,55.035,,2.6
1980,United Kingdom,1562,21098.37436,-1.473649486,27.9,,24.20728767,72.72439024,,8.25
1980,Ghana,0,994.1550192,-12.43162902,,,29.8245614,49.246,,3.86
1980,Greece,625,13323.56426,6.366808843,,,13.62876178,73.37636585,,6.79
1980,Guatemala,10625,2800.958259,1.949990822,,,13.15924438,54.824,,2.01
1980,Guyana,1062,3479.407198,8.483021514,,,,60.819,,6.04
1980,Honduras,0,1467.559857,2.130681763,,,8.376162506,57.548,,2.64
1980,Haiti,750,1704.787037,1.122754491,,,16.77357032,48.681,,1.5
1980,Hungary,0,,,,,3.842159918,69.29,,8.57
1980,Indonesia,1562,825.3391251,5.607476636,,,19.16569713,55.968,,3.19
1980,India,7125,372.7127029,9.149912016,,,5.748430298,50.812,,2.01
1980,Ireland,0,14260.78132,5.656644723,,,20.87585034,71.75304878,,8.42
1980,Iraq,0,1623.35928,12.49066468,,,9.517177344,61.464,,1.97
1980,Iceland,0,,,,,49.36133823,75.57878049,,7.43
1980,Israel,750,,,,,39.30673102,72.04512195,,9.56
1980,Italy,1937,17846.97455,-2.090162915,,,16.95050257,72.64731707,,6.16
1980,Jamaica,1250,4875.879419,-0.256092257,,,17.37614679,68.048,,5.42
1980,Jordan,0,,,,,11.97982346,63.961,,4.01
1980,Japan,125,16333.67482,3.091575916,,,11.73126615,74.24707317,,8.38
1980,Kenya,0,1101.576565,0.882203175,,,19.12018401,55.826,,2.66
1980,Cambodia,3125,,,,,,11.995,,2.2
1980,Kuwait,0,,,,,8.392370572,67.892,,3.51
1980,Liberia,4750,,,,,,42.774,,1.66
1980,Sri Lanka,0,853.5598006,6.126233161,,,6.625992553,66.237,,6.72
1980,Lesotho,0,332.3169723,-13.51349756,,,14.21193968,52.987,,3.91
1980,Luxembourg,0,38729.56046,-6.571372925,,,10.71767113,70.29860976,,7.92
1980,Morocco,0,1156.069336,7.558221561,,,7.918289267,51.244,,1.35
1980,Maldives,1875,,,,,,50.519,,4.3
1980,Mexico,0,6773.990303,5.744485049,,,14.94453464,62.81,,4.09
1980,Mali,2937,388.7285696,11.62504914,,,,36.225,,0.45
1980,Malta,0,4634.093261,19.56008086,,,8.791666666,71.53163415,,6.57
1980,Mongolia,0,,,,,,55.65,,5.65
1980,Mozambique,3125,,,,,,42.582,,0.95
1980,Mauritania,1875,1593.355985,-5.134374447,,,,52.65,,1.83
1980,Mauritius,0,,,,,14.73832327,62.35580488,,5.09
1980,Malawi,0,405.8694051,6.086823806,,,,40.222,,1.86
1980,Malaysia,0,2386.13883,0.801068092,,,4.487722269,65.712,,4.82
1980,Namibia,.,,,,,,,,
1980,Niger,0,564.2901321,-2.793193436,,,9.115802051,36.588,,0.52
1980,Nicaragua,250,2605.505218,-0.153246894,,,,56.036,,3.32
1980,Netherlands,125,24009.75801,0.002028862,,,10.21747579,74.49878049,,8.93
1980,Norway,0,32814.91571,4.95210308,,,11.68922348,74.81756098,,8.54
1980,Nepal,312,332.4547424,1.456470709,,,7.585985214,45.04,,0.72
