Year,Country,PI,Gov,BC,RPE,PR,CL,Urban,Fertility
2000,Bangladesh,1099.8,3.8,13.0,0.48019999999999996,2.6,2.6,20.5944,4.074199999999999
2005,Bangladesh,925.0,6.0,11.2,0.4984,2.4,2.4,22.443,3.4594
2010,Bangladesh,1314.6666666666667,6.0,11.8,0.5002000000000001,3.6,3.6,24.797,3.0728
2000,Belarus,50.0,6.5,1.0,0.723,4.25,4.25,66.959,1.68125
2005,Belarus,149.8,-5.6,2.4,2.0398,5.8,5.8,68.6934,1.3202
2010,Belarus,149.66666666666666,-7.0,4.0,1.8135999999999999,6.2,6.2,70.93440000000001,1.2616
2000,Belgium,0.0,10.0,0.0,1.3414,1.0,1.0,96.5404,1.6199999999999999
2005,Belgium,225.0,10.0,0.0,1.349,1.0,1.0,96.9226,1.594
2010,Belgium,292.0,10.0,0.0,1.2916,1.0,1.0,97.2404,1.6759999999999997
2000,Benin,0.0,-12.8,2.6,1.0328,2.8,2.8,35.6284,6.582800000000001
2005,Benin,0.0,6.0,1.2,1.0948,2.0,2.0,37.3856,6.1748
2010,Benin,0.0,6.0,3.4,1.1046,2.4,2.4,39.1188,5.7964
2000,Bhutan,500.0,-10.0,11.2,0.438,6.6,6.6,17.9902,5.252
2005,Bhutan,500.0,-10.0,8.8,0.5558,7.0,7.0,22.430799999999998,4.1082
2010,Bhutan,0.0,-10.0,7.8,0.6990000000000001,6.4,6.4,27.5982,3.1066
2000,Bolivia,1512.0,9.0,3.0,0.605,2.0,2.0,57.278200000000005,4.6998
2005,Bolivia,925.0,9.0,2.0,1.0416,1.4,1.4,60.2094,4.2406
2010,Bolivia,229.33333333333334,8.6,0.0,1.3266,2.0,2.0,62.766999999999996,3.8074
2000,Botswana,0.0,7.0,3.0,0.6954,1.4,1.4,45.8174,4.2388
2005,Botswana,0.0,7.6,1.2,0.5641999999999999,2.0,2.0,50.677,3.5198
2010,Botswana,0.0,8.0,0.0,0.768,2.0,2.0,54.4736,3.1874
2000,Brazil,587.4,8.0,7.0,1.409,2.2,2.2,75.428,2.7456
2005,Brazil,162.4,8.0,6.0,1.4769999999999999,2.6,2.6,79.04740000000001,2.46
2010,Brazil,437.6666666666667,8.0,4.0,1.7962,2.4,2.4,81.8698,2.1132
2000,Bulgaria,50.0,7.6,3.0,1.13075,2.2,2.2,67.00739999999999,1.572
2005,Bulgaria,274.8,8.0,5.0,1.3763999999999998,2.0,2.0,68.2302,1.1780000000000002
2010,Bulgaria,1.0,8.8,0.2,1.4234,1.2,1.2,69.5402,1.258
2000,Burkina Faso,0.0,-5.4,2.2,0.7652,5.4,5.4,14.3336,6.93
2005,Burkina Faso,87.4,-4.6,0.8,0.9616,4.8,4.8,16.0178,6.7128
2010,Burkina Faso,2.0,-0.6,2.0,0.9154,4.2,4.2,19.279,6.357
2000,Burundi,2812.4,-50.8,5.6,1.2548,6.6,6.6,6.640000000000001,7.300800000000001
2005,Burundi,1500.0,-17.8,8.8,1.186,6.6,6.6,7.6213999999999995,7.0404
2010,Burundi,625.0,-70.6,6.4,1.1038000000000001,5.6,5.6,8.6872,6.8142
2000,Cambodia,50.0,-52.4,0.4,0.446,5.4,5.4,16.240000000000002,5.3964
2005,Cambodia,0.0,-0.2,0.0,0.4888,6.2,6.2,17.9758,4.3740000000000006
2010,Cambodia,146.0,2.0,0.4,0.5158,6.0,6.0,18.8202,3.5532000000000004
2000,Cameroon,0.0,-4.2,5.8,0.5906,6.0,6.0,40.818599999999996,6.261
2005,Cameroon,25.0,-5.0,2.4,0.7358,7.0,7.0,43.7568,5.7606
2010,Cameroon,0.0,-5.0,4.4,0.7712,6.2,6.2,46.7394,5.4688
2000,Canada,112.4,10.0,0.0,1.1372,1.0,1.0,76.931,1.7280000000000002
2005,Canada,137.4,10.0,0.0,1.0998,1.0,1.0,78.3586,1.596
2010,Canada,751.0,10.0,1.2,0.9852000000000001,1.0,1.0,79.8376,1.536
2000,Central African Republic,1175.0,-1.8,11.4,0.6204000000000001,4.8,4.8,36.987,5.985
2005,Central African Republic,0.0,5.0,12.6,0.5806,3.0,3.0,37.3938,5.9576
2010,Central African Republic,2087.3333333333335,2.6,11.0,0.587,5.2,5.2,37.8022,5.856199999999999
2000,Chad,400.0,-37.0,7.0,0.5044000000000001,6.2,6.2,21.1834,7.2846
2005,Chad,1150.0,-18.4,6.6,0.5356,6.0,6.0,21.538400000000003,7.2768
2010,Chad,625.0,-1.0,6.2,0.5006,6.0,6.0,21.7024,7.203999999999999
2000,Chile,175.0,8.0,3.0,0.626,2.0,2.0,83.6704,2.4844
2005,Chile,75.0,8.0,2.0,0.6524,2.2,2.2,85.1666,2.1762
2010,Chile,734.0,9.0,0.0,0.6262000000000001,1.6,1.6,86.4864,1.9164
2000,Colombia,10612.2,8.8,3.0,0.8144,2.4,2.4,70.4094,3.0048000000000004
2005,Colombia,4049.8,7.0,2.2,1.0732,3.8,3.8,72.658,2.7432
2010,Colombia,2712.3333333333335,7.0,0.0,1.1166,4.0,4.0,74.7928,2.4542
2000,Comoros,1550.0,4.0,0.0,0.9907999999999999,4.2,4.2,28.281200000000002,6.2018
2005,Comoros,0.0,-13.4,0.0,0.889,4.8,4.8,28.2126,5.5862
2010,Comoros,0.0,2.6,0.0,0.8873999999999999,5.2,5.2,27.9916,5.2002
2000,Costa Rica,525.0,10.0,0.6,0.9398,1.0,1.0,51.829600000000006,3.0426
2005,Costa Rica,0.0,10.0,0.0,0.9448000000000001,1.0,1.0,56.36319999999999,2.6336
2010,Costa Rica,6.333333333333333,10.0,0.0,0.95,1.0,1.0,61.736599999999996,2.2304000000000004
2000,Croatia,75.0,-3.0,4.5,1.343,3.75,3.75,51.70275,1.5
2005,Croatia,0.0,-21.6,3.2,1.9058,4.0,4.0,52.7386,1.5539999999999998
2010,Croatia,0.0,8.0,0.0,1.6412,2.0,2.0,53.801199999999994,1.422
2000,Cuba,50.0,-7.0,0.0,2.766,7.0,7.0,73.7942,1.595
2005,Cuba,0.0,-7.0,0.0,2.7902,7.0,7.0,74.65299999999999,1.5354
2010,Cuba,41.666666666666664,-7.0,0.0,2.7628,7.0,7.0,75.7302,1.5715999999999999
2000,Cyprus,0.0,10.0,3.0,1.0332000000000001,1.0,1.0,67.4538,2.3232
2005,Cyprus,0.0,10.0,3.0,1.0273999999999999,1.0,1.0,68.2828,1.8564
2010,Cyprus,0.3333333333333333,10.0,0.2,1.1576,1.0,1.0,68.6148,1.5448
2000,Denmark,0.0,10.0,0.0,1.4032,1.0,1.0,84.89779999999999,1.734
2005,Denmark,137.4,10.0,0.0,1.4108,1.0,1.0,85.0328,1.75
2010,Denmark,0.0,10.0,0.0,1.3066,1.0,1.0,85.2852,1.754
2000,Djibouti,375.0,-7.4,7.4,1.6562000000000001,6.0,6.0,76.1386,5.765
2005,Djibouti,0.0,-4.8,9.2,1.6280000000000001,4.8,4.8,76.3928,4.9794
2010,Djibouti,0.3333333333333333,1.0,7.2,1.467,4.4,4.4,76.624,4.3626000000000005
2000,Dominican Republic,399.6,5.0,0.2,0.7348,2.6,2.6,55.8558,3.2872
2005,Dominican Republic,25.0,7.4,0.0,0.818,2.8,2.8,59.271,2.9664
2010,Dominican Republic,152.33333333333334,8.0,0.2,0.9012,2.2,2.2,63.659400000000005,2.766
2000,Ecuador,1324.8,9.0,7.0,0.4572,2.0,2.0,56.2038,3.597
2005,Ecuador,899.8,9.0,6.0,0.5576000000000001,2.2,2.2,58.782999999999994,3.286
2010,Ecuador,708.3333333333334,6.0,4.0,0.7926,3.0,3.0,61.0092,2.975
2000,El Salvador,87.4,6.2,5.2,0.7186,3.0,3.0,50.7008,3.8052
2005,El Salvador,87.4,7.0,2.0,0.8474,2.4,2.4,56.39,3.4104
2010,El Salvador,0.0,7.0,0.0,0.9106,2.0,2.0,60.0116,2.8294
2000,Equatorial Guinea,437.4,-6.2,0.0,0.11480000000000001,7.0,7.0,36.7764,5.983
2005,Equatorial Guinea,675.0,-5.8,0.0,0.16240000000000002,7.0,7.0,43.908,5.9328
2010,Equatorial Guinea,625.0,-6.0,0.0,0.31120000000000003,6.8,6.8,52.5674,5.7286
2000,Eritrea,0.0,-6.0,7.0,0.275,6.0,6.0,21.384999999999998,6.037
2005,Eritrea,62.4,-6.0,8.2,0.4648,6.2,6.2,24.1066,5.7344
2010,Eritrea,0.0,-6.8,6.8,1.0228,7.0,7.0,28.3582,5.223
2000,Estonia,50.0,6.0,1.0,1.3215000000000001,2.75,2.75,70.76675,1.605
2005,Estonia,87.4,6.2,2.4,1.1762000000000001,1.2,1.2,69.922,1.33
2010,Estonia,0.0,9.0,4.0,1.0522,1.0,1.0,69.1154,1.3760000000000001
2000,Ethiopia,237.4,-72.83333333333333,12.5,0.9676666666666667,6.166666666666667,6.166666666666667,13.161833333333334,7.1546666666666665
2005,Ethiopia,1650.0,1.0,13.0,1.129,4.2,4.2,14.1882,6.836
2010,Ethiopia,188.0,1.0,11.6,1.0744,5.0,5.0,15.119800000000001,6.3488
2000,Fiji,550.0,5.0,0.0,1.4868000000000001,4.8,4.8,43.1588,3.3474000000000004
2005,Fiji,425.0,5.8,0.0,1.4324,3.6,3.6,46.629599999999996,3.186
2010,Fiji,0.0,-13.4,0.0,1.3616,4.4,4.4,48.6928,2.9762
2000,Finland,0.0,10.0,1.2,1.5034,1.0,1.0,80.087,1.816
2005,Finland,0.0,10.0,2.4,1.4572,1.0,1.0,81.46099999999998,1.754
2010,Finland,104.0,10.0,4.0,1.339,1.0,1.0,82.4928,1.748
2000,France,549.8,10.0,0.0,1.4344000000000001,1.0,1.0,74.4002,1.7440000000000002
2005,France,649.8,10.0,0.0,1.4382,1.0,1.0,75.255,1.77
2010,France,541.6666666666666,10.0,0.0,1.3644,1.0,1.0,76.37859999999999,1.8960000000000001
2000,Gabon,0.0,-20.8,0.2,0.7418,4.4,4.4,71.6548,5.2702
2005,Gabon,0.0,-4.0,1.8,0.9036,5.0,5.0,76.46979999999999,4.6722
2010,Gabon,146.0,-4.0,0.4,0.9426,5.0,5.0,80.34819999999999,4.3594
2000,Georgia,3174.8,-59.75,10.75,,5.0,5.0,54.439499999999995,2.08125
2005,Georgia,1624.8,4.0,7.2,0.748,3.4,3.4,53.36,1.7406
2010,Georgia,127.0,2.8,4.2,1.0230000000000001,3.8,3.8,52.705,1.5752000000000002
2000,Germany,25.0,10.0,0.0,1.206,1.0,1.0,73.459,1.2850000000000001
2005,Germany,87.4,10.0,0.0,1.1789999999999998,1.0,1.0,74.3412,1.324
2010,Germany,197.0,10.0,0.0,1.1058,1.0,1.0,75.373,1.354
2000,Ghana,0.0,-2.8,0.0,0.4608,5.4,5.4,37.910000000000004,5.4632
2005,Ghana,50.0,1.4,0.0,0.5094000000000001,3.2,3.2,41.6584,4.9074
2010,Ghana,0.0,5.6,2.0,0.6188,2.0,2.0,45.2772,4.7058
2000,Greece,112.4,10.0,3.0,0.599,1.0,1.0,71.747,1.354
2005,Greece,649.8,10.0,3.4,0.7263999999999999,1.0,1.0,72.3582,1.256
2010,Greece,3064.0,10.0,0.2,0.7312000000000001,1.0,1.0,73.33879999999999,1.276
2000,Guatemala,300.0,3.0,4.0,0.6748000000000001,3.6,3.6,42.6554,5.3232
2005,Guatemala,237.4,7.0,0.6,0.7896,3.2,3.2,44.324,4.9012
2010,Guatemala,250.0,8.0,0.0,0.8548,3.6,3.6,45.9878,4.368
2000,Guinea,149.8,-5.4,8.0,1.216,6.0,6.0,28.6022,6.5346
2005,Guinea,1399.6,-1.0,7.4,0.8782,6.0,6.0,30.043,6.1662
2010,Guinea,251.0,-1.0,4.0,0.7176,6.0,6.0,31.4216,5.807
2000,Guinea-Bissau,800.0,-4.2,0.6,0.38239999999999996,5.4,5.4,32.825599999999994,6.3884
2005,Guinea-Bissau,1537.4,-31.8,1.0,0.33659999999999995,3.0,3.0,35.116,5.9926
2010,Guinea-Bissau,1437.6666666666667,2.6,0.4,0.3914,4.4,4.4,37.0056,5.6056
2000,Guyana,174.8,0.8,0.0,0.9642,3.4,3.4,29.404199999999996,3.0686
2005,Guyana,124.8,6.0,0.0,0.9048,2.0,2.0,28.9594,3.058
2010,Guyana,0.0,6.0,0.0,0.9102,2.0,2.0,28.4378,2.9554
2000,Haiti,3224.8,-18.4,0.0,0.3538,6.0,6.0,30.465600000000002,5.2196
2005,Haiti,1062.2,-12.2,0.0,0.465,4.6,4.6,33.79260000000001,4.6686
2010,Haiti,375.3333333333333,-19.2,0.0,0.4772,6.2,6.2,38.822,4.148000000000001
2000,Honduras,62.4,6.0,9.2,1.068,2.4,2.4,41.449,5.0898
2005,Honduras,525.0,6.2,2.0,1.0038,2.6,2.6,43.9452,4.5466
2010,Honduras,104.0,7.0,0.0,1.0038,3.0,3.0,46.6452,3.9566000000000003
2000,Hungary,0.0,10.0,2.2,1.03225,1.6,1.6,65.5868,1.766
2005,Hungary,137.4,10.0,2.6,0.9022,1.0,1.0,64.9558,1.4
2010,Hungary,42.0,10.0,0.0,0.8667999999999999,1.0,1.0,65.1422,1.296
2000,India,2124.8,8.0,9.6,1.1594000000000002,3.2,3.2,25.9798,3.8806
2005,India,1425.0,8.4,8.2,1.045,2.4,2.4,27.028999999999996,3.5152
2010,India,3695.6666666666665,9.0,7.6,1.0302,2.0,2.0,28.2608,3.2076000000000002
2000,Indonesia,3524.6,-7.0,1.0,0.8892,6.4,6.4,32.7282,2.9632
2005,Indonesia,812.4,-4.0,0.6,0.8144,6.2,6.2,38.4204,2.7077999999999998
2010,Indonesia,263.6666666666667,6.4,0.0,0.7136,3.0,3.0,43.571600000000004,2.467
2000,Iraq,2537.4,-9.0,8.2,2.9024,7.0,7.0,69.3366,5.7164
2005,Iraq,6962.4,-9.0,3.0,1.6154,7.0,7.0,68.5216,5.2274
2010,Iraq,2062.0,-31.8,0.6,1.1674,7.0,7.0,68.604,4.7362
2000,Ireland,75.0,10.0,2.0,0.8917999999999999,1.0,1.0,57.3076,1.986
2005,Ireland,100.0,10.0,0.0,0.8343999999999999,1.0,1.0,58.423,1.8980000000000001
2010,Ireland,125.66666666666667,10.0,0.0,0.7121999999999999,1.0,1.0,59.666,1.938
2000,Israel,2075.0,6.0,3.4,1.194,1.6,1.6,90.564,2.7972
2005,Israel,1624.8,6.0,1.0,1.1716,1.0,1.0,91.0062,2.937
2010,Israel,460.0,6.0,0.0,1.1099999999999999,1.0,1.0,91.3298,2.9219999999999997
2000,Italy,374.8,10.0,0.0,0.9212,1.0,1.0,66.7676,1.278
2005,Italy,287.4,10.0,0.0,0.9198000000000001,1.0,1.0,67.042,1.212
2010,Italy,817.6666666666666,10.0,0.0,0.899,1.0,1.0,67.4014,1.282
2000,Jamaica,125.0,9.6,0.0,1.3612,2.0,2.0,49.9014,2.9226
2005,Jamaica,75.0,9.0,0.0,1.4236,2.0,2.0,51.0948,2.651
2010,Jamaica,187.33333333333334,9.0,0.0,1.5559999999999998,2.0,2.0,52.236000000000004,2.1578
2000,Japan,50.0,10.0,0.0,0.9087999999999999,1.4,1.4,77.60979999999999,1.506
2005,Japan,150.0,10.0,0.0,0.8493999999999999,1.0,1.0,78.2708,1.392
2010,Japan,334.0,10.0,0.0,0.8144,1.0,1.0,81.62440000000001,1.318
2000,Jordan,62.4,-2.8,11.8,1.4222,4.0,4.0,75.5504,5.1264
2005,Jordan,0.0,-2.0,5.4,1.4006,4.0,4.0,78.2324,4.3424
2010,Jordan,613.3333333333334,-2.0,5.4,1.3264,5.0,5.0,78.29560000000001,3.849
2000,Kazakhstan,687.4,-3.0,3.0,1.60925,5.5,5.5,56.037499999999994,2.4225
2005,Kazakhstan,262.4,-6.0,4.0,1.0458,6.0,6.0,55.9678,1.998
2010,Kazakhstan,2.6666666666666665,-6.0,4.0,0.9808,6.0,6.0,56.24400000000001,1.988
2000,Kenya,87.4,-5.4,15.4,0.9852000000000001,5.4,5.4,17.346,5.766
2005,Kenya,974.8,0.4,16.0,1.155,6.4,6.4,18.9024,5.271800000000001
2010,Kenya,270.6666666666667,6.4,14.4,1.1663999999999999,4.4,4.4,20.596,4.9962
2005,Kosovo,1937.5,,,,,,,
2010,Kosovo,104.0,,,,,,,
2000,Kuwait,0.0,-19.2,9.0,1.0162,5.6,5.6,98.0018,3.1098
2005,Kuwait,50.0,-7.0,3.4,1.283,4.8,4.8,98.503,2.9490000000000003
2010,Kuwait,612.0,-7.0,3.4,1.4902,4.0,4.0,99.7816,2.7044
2000,Latvia,50.0,8.0,1.0,0.86975,2.75,2.75,68.93825,1.6225
2005,Latvia,237.4,8.0,2.4,1.1232,1.4,1.4,68.5342,1.154
2010,Latvia,0.0,8.0,4.0,1.0162,1.0,1.0,67.9134,1.268
2000,Lebanon,187.4,-66.0,2.8,0.6916,5.8,5.8,83.8116,3.0808
2005,Lebanon,1774.8,-66.0,2.0,0.961,6.0,6.0,85.4152,2.6652
2010,Lebanon,2293.3333333333335,-66.0,2.0,1.0214,6.0,6.0,86.24359999999999,2.3972
2000,Lesotho,0.0,-1.0,3.0,,5.0,5.0,15.1244,4.5018
2005,Lesotho,62.4,5.4,1.2,,4.0,4.0,18.0302,3.9595999999999996
2010,Lesotho,0.0,7.2,0.0,,2.8,2.8,20.607599999999998,3.6292
2000,Liberia,1312.4,-77.0,2.4,0.5906,6.8,6.8,53.886199999999995,6.285200000000001
2005,Liberia,199.8,-33.0,3.0,0.3866,5.2,5.2,43.9724,6.0702
2010,Liberia,1.0,-35.2,3.6,0.5252,5.6,5.6,45.0176,5.671
2000,Libya,0.0,-7.0,14.8,0.8154,7.0,7.0,75.83160000000001,4.397
2005,Libya,0.0,-7.0,11.6,0.8732,7.0,7.0,76.12660000000001,3.2838000000000003
2010,Libya,2731.0,-7.0,9.6,1.1522000000000001,7.0,7.0,76.64099999999999,2.8796
2000,Lithuania,0.0,10.0,1.0,1.0805,1.5,1.5,67.434,1.8225
2005,Lithuania,125.0,10.0,2.4,1.1221999999999999,1.0,1.0,67.1656,1.486
2010,Lithuania,0.0,10.0,4.0,1.0452,1.2,1.2,66.8232,1.2879999999999998
2000,Luxembourg,0.0,10.0,0.0,0.8718,1.0,1.0,81.5888,1.652
2005,Luxembourg,0.0,10.0,0.0,0.8868,1.0,1.0,82.96759999999999,1.72
2010,Luxembourg,0.0,10.0,0.0,0.829,1.0,1.0,85.2556,1.666
2000,Madagascar,187.4,-13.4,0.0,0.7026,3.2,3.2,24.6306,6.078799999999999
2005,Madagascar,562.4,8.2,0.0,0.7632,2.0,2.0,26.3228,5.771800000000001
2010,Madagascar,1437.3333333333333,7.0,0.0,0.766,2.6,2.6,27.6644,5.2512
2000,Malawi,0.0,-5.4,3.6,0.6838,5.6,5.6,12.2256,6.6533999999999995
2005,Malawi,0.0,6.0,0.0,0.5512,2.2,2.2,13.959999999999999,6.275
2010,Malawi,2.0,5.0,0.0,0.665,3.6,3.6,14.786599999999998,5.9722
2000,Malaysia,87.4,4.0,5.4,1.0572000000000001,4.6,4.6,51.939,3.3712000000000004
2005,Malaysia,100.0,3.2,1.6,0.8756,4.4,4.4,58.2264,3.1944000000000004
2010,Malaysia,191.0,3.0,2.2,0.6990000000000001,4.8,4.8,63.8458,2.6428000000000003
2000,Mali,0.0,-16.6,4.8,0.6948000000000001,3.6,3.6,24.1904,7.1694
2005,Mali,0.0,4.6,5.6,0.8058,2.6,2.6,26.504399999999997,6.9248
2010,Mali,2750.0,5.0,6.4,0.9056000000000001,2.0,2.0,29.8168,6.814
2000,Mauritania,750.0,-6.2,4.8,0.6578,7.0,7.0,39.075599999999994,6.022399999999999
2005,Mauritania,750.0,-6.0,5.2,0.7548,6.0,6.0,38.4594,5.667199999999999
2010,Mauritania,0.3333333333333333,-6.0,4.0,0.8482,5.6,5.6,39.553399999999996,5.3094
2000,Mauritius,0.0,10.0,0.0,1.4882,1.4,1.4,43.6534,2.29
2005,Mauritius,0.0,10.0,0.0,1.181,1.0,1.0,43.0384,2.064
2010,Mauritius,0.0,10.0,0.0,1.1236000000000002,1.0,1.0,42.4468,1.9259999999999997
2000,Mexico,2462.4,0.8,5.0,0.5948,4.0,4.0,72.2054,3.2903999999999995
2005,Mexico,987.4,5.2,2.0,0.5028,3.4,3.4,73.9188,2.8858
2010,Mexico,895.6666666666666,8.0,1.2,0.5274,2.0,2.0,75.3622,2.6246
2000,Moldova,512.4,5.5,0.0,1.72375,4.75,4.75,46.528,2.14825
2005,Moldova,137.4,7.0,0.0,1.4326,2.8,2.8,45.7354,1.7052
2010,Moldova,0.0,7.8,0.0,1.178,2.6,2.6,43.7892,1.4836
2000,Mongolia,0.0,6.2,3.4,0.9420000000000001,2.6,2.6,56.9418,3.5542000000000002
2005,Mongolia,87.4,9.8,4.0,0.726,2.0,2.0,56.71419999999999,2.5082
2010,Mongolia,125.0,10.0,4.0,0.9358000000000001,2.0,2.0,59.29600000000001,2.1296
2000,Morocco,50.0,-7.4,3.2,1.5368,5.0,5.0,49.8432,3.7682
2005,Morocco,1250.0,-6.6,4.0,1.4598,5.0,5.0,52.3498,3.1098
2010,Morocco,336.0,-6.0,4.0,1.394,5.0,5.0,53.989599999999996,2.6822
2000,Mozambique,174.8,-4.0,3.0,0.852,5.4,5.4,25.986,6.0924
2005,Mozambique,25.0,5.0,1.2,0.7992,3.0,3.0,28.341,5.8646
2010,Mozambique,354.0,5.0,0.0,0.7979999999999999,3.0,3.0,29.4574,5.7448
2000,Namibia,0.0,6.0,10.0,1.5506,2.0,2.0,28.410000000000004,5.035
2005,Namibia,0.0,6.0,8.2,1.7716,2.0,2.0,30.8276,4.210800000000001
2010,Namibia,0.0,6.0,4.6,1.4407999999999999,2.0,2.0,33.882400000000004,3.7434
2000,Nepal,2774.8,5.0,11.2,0.557,2.8,2.8,9.6096,5.0600000000000005
2005,Nepal,2287.2,5.2,8.8,0.6514,3.0,3.0,11.852,4.418200000000001
2010,Nepal,541.6666666666666,-1.2,7.8,0.6801999999999999,4.0,4.0,14.192599999999999,3.6129999999999995
2000,Netherlands,162.4,10.0,0.0,1.2673999999999999,1.0,1.0,70.2596,1.592
2005,Netherlands,0.0,10.0,0.0,1.1078,1.0,1.0,74.4364,1.58
2010,Netherlands,312.6666666666667,10.0,0.0,1.0192,1.0,1.0,79.11859999999999,1.7259999999999998
2000,New Zealand,0.0,10.0,0.0,1.2129999999999999,1.0,1.0,85.0906,2.07
2005,New Zealand,0.0,10.0,0.0,1.1305999999999998,1.0,1.0,85.7672,1.952
2010,New Zealand,0.0,10.0,0.0,1.0719999999999998,1.0,1.0,86.1568,1.95
2000,Nicaragua,25.0,6.0,0.2,0.7282,3.6,3.6,53.6294,4.2668
2005,Nicaragua,212.4,8.0,0.0,0.8314,3.0,3.0,54.736599999999996,3.4850000000000003
2010,Nicaragua,83.33333333333333,8.0,0.0,0.8388,3.0,3.0,55.483799999999995,2.9522
2000,Niger,0.0,-33.6,9.8,0.5588,4.6,4.6,15.5294,7.795
2005,Niger,400.0,0.4,4.8,0.5492,5.8,5.8,15.9376,7.7622
2010,Niger,625.0,5.2,7.4,0.712,3.8,3.8,16.2398,7.677200000000001
2000,Nigeria,3149.6,-5.8,1.0,0.6382,5.8,5.8,30.6812,6.389799999999999
2005,Nigeria,1312.4,-20.4,0.6,0.4013999999999999,6.2,6.2,33.250800000000005,6.1558
2010,Nigeria,10988.333333333334,4.0,0.0,0.7928,4.0,4.0,36.517,6.1198
2000,Norway,50.0,10.0,1.2,1.044,1.0,1.0,72.68,1.8920000000000001
2005,Norway,0.0,10.0,2.4,1.0054,1.0,1.0,74.5842,1.8560000000000003
2010,Norway,0.0,10.0,4.0,0.9454,1.0,1.0,76.7228,1.802
2000,Oman,0.0,-9.2,0.2,1.1872,6.0,6.0,69.2154,6.0446
2005,Oman,0.0,-9.0,0.0,1.2798,6.0,6.0,71.62899999999999,4.6342
2010,Oman,3.6666666666666665,-8.4,0.6,1.4492,6.0,6.0,71.5966,3.526
2000,Pakistan,799.6,8.0,21.4,0.8,3.6,3.6,31.078000000000003,6.1964
2005,Pakistan,1524.8,4.8,15.8,0.7984,4.4,4.4,32.3288,5.6415999999999995
2010,Pakistan,6031.666666666667,-5.4,13.0,0.7194,6.0,6.0,33.3806,5.0043999999999995
2000,Panama,175.0,8.2,4.0,0.8103999999999999,3.4,3.4,55.6052,2.9661999999999997
2005,Panama,50.0,9.0,4.0,0.682,1.8,1.8,59.8018,2.8096
2010,Panama,0.0,9.0,4.0,0.5496000000000001,1.0,1.0,62.7934,2.7064
2000,Papua New Guinea,1550.0,4.0,5.4,0.5700000000000001,2.0,2.0,14.6292,5.0308
2005,Papua New Guinea,375.0,4.0,1.6,0.5808,2.0,2.0,13.725999999999999,4.6812
2010,Papua New Guinea,625.6666666666666,4.0,1.8,0.5162,2.4,2.4,13.164600000000002,4.4116
2000,Paraguay,849.8,5.0,0.0,0.6900000000000001,3.4,3.4,50.1302,4.37
2005,Paraguay,25.0,6.8,0.0,0.7496,4.0,4.0,53.4132,3.9018
2010,Paraguay,774.6666666666666,7.4,0.0,0.5932000000000001,3.6,3.6,56.43579999999999,3.3256
2000,Peru,3412.2,2.0,4.0,0.9588000000000001,4.4,4.4,69.7016,3.6726
2005,Peru,2387.4,-1.0,4.2,1.0464,4.8,4.8,71.79459999999999,3.1071999999999997
2010,Peru,150.66666666666666,-10.4,4.0,0.8827999999999999,2.0,2.0,73.8466,2.7232
2000,Philippines,4762.4,8.0,0.0,1.1534,3.0,3.0,46.8154,4.2265999999999995
